"iso","alert__year","alert__week","alert__count","confidence__cat"
"MDG",2018,24,253,"h"
"MDG",2014,46,869,"h"
"MDG",2019,7,9,"h"
"MDG",2023,32,308,"h"
"MDG",2012,31,361,"h"
"MDG",2020,20,185,"h"
"MDG",2012,42,1871,"h"
"MDG",2016,29,277,"h"
"MDG",2013,51,172,"h"
"MDG",2015,53,1,"h"
"MDG",2012,8,2,"h"
"MDG",2014,3,4,"h"
"MDG",2021,43,836,"h"
"MDG",2018,21,393,"h"
"MDG",2015,40,1106,"h"
"MDG",2021,24,238,"h"
"MDG",2022,4,96,"h"
"MDG",2012,33,621,"h"
"MDG",2015,13,5,"h"
"MDG",2018,19,52,"h"
"MDG",2014,9,7,"h"
"MDG",2017,38,432,"h"
"MDG",2015,50,310,"h"
"MDG",2022,52,115,"h"
"MDG",2020,1,6,"h"
"MDG",2016,7,3,"h"
"MDG",2013,4,12,"h"
"MDG",2013,13,30,"h"
"MDG",2021,35,577,"h"
"MDG",2015,7,1,"h"
"MDG",2017,42,1320,"h"
"MDG",2015,36,597,"h"
"MDG",2013,21,93,"h"
"MDG",2013,34,724,"h"
"MDG",2019,26,196,"h"
"MDG",2021,31,397,"h"
"MDG",2016,17,177,"h"
"MDG",2014,13,31,"h"
"MDG",2023,19,62,"h"
"MDG",2014,1,51,"h"
"MDG",2014,31,465,"h"
"MDG",2017,40,1246,"h"
"MDG",2020,23,220,"h"
"MDG",2018,6,1,"h"
"MDG",2022,2,4,"h"
"MDG",2013,32,602,"h"
"MDG",2013,24,354,"h"
"MDG",2012,22,103,"h"
"MDG",2016,45,938,"h"
"MDG",2022,18,35,"h"
"MDG",2016,52,246,"h"
"MDG",2012,6,1,"h"
"MDG",2014,25,245,"h"
"MDG",2016,40,1632,"h"
"MDG",2014,40,1042,"h"
"MDG",2013,8,6,"h"
"MDG",2023,34,541,"h"
"MDG",2015,34,583,"h"
"MDG",2016,2,1,"h"
"MDG",2012,36,1068,"h"
"MDG",2015,20,98,"h"
"MDG",2016,43,974,"h"
