"alert__week","alert__year","alert__count","confidence__cat"
5,2019,13,"l"
5,2019,141,"n"
4,2019,11,"l"
4,2019,127,"n"
3,2019,5,"h"
3,2019,25,"l"
3,2019,502,"n"
2,2019,5,"h"
2,2019,8,"l"
2,2019,334,"n"
1,2019,19,"h"
1,2019,121,"l"
1,2019,1202,"n"
52,2018,45,"h"
52,2018,169,"l"
52,2018,1265,"n"
51,2018,50,"h"
51,2018,147,"l"
51,2018,1471,"n"
50,2018,155,"h"
50,2018,198,"l"
50,2018,3238,"n"
49,2018,399,"h"
49,2018,518,"l"
49,2018,4445,"n"
48,2018,349,"h"
48,2018,1152,"l"
48,2018,6312,"n"
47,2018,372,"h"
47,2018,1014,"l"
47,2018,6863,"n"
46,2018,452,"h"
46,2018,721,"l"
46,2018,4930,"n"
45,2018,989,"h"
45,2018,2396,"l"
45,2018,9390,"n"
44,2018,881,"h"
44,2018,3069,"l"
44,2018,10481,"n"
43,2018,1907,"h"
43,2018,3680,"l"
43,2018,16645,"n"
42,2018,822,"h"
42,2018,2081,"l"
42,2018,9741,"n"
41,2018,404,"h"
41,2018,1930,"l"
41,2018,6428,"n"
40,2018,1424,"h"
40,2018,3214,"l"
40,2018,12964,"n"
39,2018,1242,"h"
39,2018,2638,"l"
39,2018,13120,"n"
38,2018,2248,"h"
38,2018,5195,"l"
38,2018,20325,"n"
37,2018,865,"h"
37,2018,2019,"l"
37,2018,9391,"n"
36,2018,718,"h"
36,2018,2311,"l"
36,2018,9923,"n"
35,2018,375,"h"
35,2018,1940,"l"
35,2018,7322,"n"
34,2018,572,"h"
34,2018,2318,"l"
34,2018,9126,"n"
33,2018,1408,"h"
33,2018,2483,"l"
33,2018,12440,"n"
32,2018,971,"h"
32,2018,3128,"l"
32,2018,14434,"n"
31,2018,544,"h"
31,2018,1360,"l"
31,2018,9592,"n"
30,2018,532,"h"
30,2018,658,"l"
30,2018,6225,"n"
29,2018,250,"h"
29,2018,675,"l"
29,2018,5968,"n"
28,2018,359,"h"
28,2018,1220,"l"
28,2018,7965,"n"
27,2018,598,"h"
27,2018,336,"l"
27,2018,5824,"n"
26,2018,338,"h"
26,2018,450,"l"
26,2018,5872,"n"
25,2018,408,"h"
25,2018,1579,"l"
25,2018,9389,"n"
24,2018,253,"h"
24,2018,337,"l"
24,2018,4917,"n"
23,2018,285,"h"
23,2018,609,"l"
23,2018,6088,"n"
22,2018,179,"h"
22,2018,895,"l"
22,2018,5553,"n"
21,2018,393,"h"
21,2018,1194,"l"
21,2018,7737,"n"
20,2018,188,"h"
20,2018,332,"l"
20,2018,4167,"n"
19,2018,52,"h"
19,2018,508,"l"
19,2018,3073,"n"
18,2018,77,"h"
18,2018,582,"l"
18,2018,2909,"n"
17,2018,136,"h"
17,2018,512,"l"
17,2018,2368,"n"
16,2018,6,"h"
16,2018,67,"l"
16,2018,695,"n"
15,2018,19,"h"
15,2018,132,"l"
15,2018,923,"n"
14,2018,6,"h"
14,2018,16,"l"
14,2018,291,"n"
13,2018,12,"h"
13,2018,226,"l"
13,2018,866,"n"
12,2018,7,"h"
12,2018,133,"l"
12,2018,546,"n"
11,2018,2,"h"
11,2018,80,"l"
11,2018,342,"n"
10,2018,2,"h"
10,2018,21,"l"
10,2018,147,"n"
9,2018,8,"l"
9,2018,141,"n"
8,2018,1,"h"
8,2018,18,"l"
8,2018,137,"n"
7,2018,1,"h"
7,2018,9,"l"
7,2018,99,"n"
6,2018,1,"h"
6,2018,10,"l"
6,2018,78,"n"
5,2018,19,"h"
5,2018,21,"l"
5,2018,277,"n"
4,2018,19,"h"
4,2018,35,"l"
4,2018,277,"n"
3,2018,25,"h"
3,2018,84,"l"
3,2018,1033,"n"
2,2018,4,"h"
2,2018,7,"l"
2,2018,333,"n"
1,2018,6,"h"
1,2018,8,"l"
1,2018,160,"n"
52,2017,9,"h"
52,2017,79,"l"
52,2017,538,"n"
51,2017,55,"h"
51,2017,205,"l"
51,2017,2013,"n"
50,2017,63,"h"
50,2017,93,"l"
50,2017,1767,"n"
49,2017,371,"h"
49,2017,280,"l"
49,2017,5817,"n"
48,2017,163,"h"
48,2017,370,"l"
48,2017,3271,"n"
47,2017,143,"h"
47,2017,583,"l"
47,2017,3747,"n"
46,2017,339,"h"
46,2017,683,"l"
46,2017,5750,"n"
45,2017,902,"h"
45,2017,3261,"l"
45,2017,15767,"n"
44,2017,1094,"h"
44,2017,2398,"l"
44,2017,9823,"n"
43,2017,1752,"h"
43,2017,3458,"l"
43,2017,15730,"n"
42,2017,1320,"h"
42,2017,5582,"l"
42,2017,16232,"n"
41,2017,1080,"h"
41,2017,2262,"l"
41,2017,10317,"n"
40,2017,1246,"h"
40,2017,2840,"l"
40,2017,11329,"n"
39,2017,590,"h"
39,2017,2246,"l"
39,2017,8116,"n"
38,2017,432,"h"
38,2017,2407,"l"
38,2017,7677,"n"
37,2017,1772,"h"
37,2017,4025,"l"
37,2017,15473,"n"
36,2017,1040,"h"
36,2017,3663,"l"
36,2017,12204,"n"
35,2017,681,"h"
35,2017,1755,"l"
35,2017,8057,"n"
34,2017,403,"h"
34,2017,1453,"l"
34,2017,6520,"n"
33,2017,299,"h"
33,2017,958,"l"
33,2017,5492,"n"
32,2017,409,"h"
32,2017,1922,"l"
32,2017,8581,"n"
31,2017,556,"h"
31,2017,1168,"l"
31,2017,7485,"n"
30,2017,270,"h"
30,2017,534,"l"
30,2017,4479,"n"
29,2017,420,"h"
29,2017,1990,"l"
29,2017,9792,"n"
28,2017,687,"h"
28,2017,1486,"l"
28,2017,9902,"n"
27,2017,382,"h"
27,2017,811,"l"
27,2017,7511,"n"
26,2017,360,"h"
26,2017,745,"l"
26,2017,6606,"n"
25,2017,147,"h"
25,2017,223,"l"
25,2017,4084,"n"
24,2017,275,"h"
24,2017,321,"l"
24,2017,3988,"n"
23,2017,279,"h"
23,2017,617,"l"
23,2017,5125,"n"
22,2017,125,"h"
22,2017,512,"l"
22,2017,4825,"n"
21,2017,255,"h"
21,2017,673,"l"
21,2017,5208,"n"
20,2017,91,"h"
20,2017,338,"l"
20,2017,3098,"n"
19,2017,173,"h"
19,2017,569,"l"
19,2017,3986,"n"
18,2017,119,"h"
18,2017,263,"l"
18,2017,2566,"n"
17,2017,51,"h"
17,2017,275,"l"
17,2017,1969,"n"
16,2017,30,"h"
16,2017,58,"l"
16,2017,774,"n"
15,2017,18,"h"
15,2017,76,"l"
15,2017,822,"n"
14,2017,15,"h"
14,2017,76,"l"
14,2017,576,"n"
13,2017,20,"l"
13,2017,218,"n"
12,2017,1,"h"
12,2017,16,"l"
12,2017,233,"n"
11,2017,2,"h"
11,2017,11,"l"
11,2017,103,"n"
10,2017,5,"l"
10,2017,92,"n"
9,2017,9,"h"
9,2017,26,"l"
9,2017,254,"n"
8,2017,1,"h"
8,2017,6,"l"
8,2017,116,"n"
7,2017,3,"h"
7,2017,15,"l"
7,2017,124,"n"
6,2017,15,"h"
6,2017,68,"l"
6,2017,307,"n"
5,2017,99,"h"
5,2017,94,"l"
5,2017,1047,"n"
4,2017,81,"h"
4,2017,288,"l"
4,2017,1636,"n"
3,2017,66,"h"
3,2017,232,"l"
3,2017,1333,"n"
2,2017,130,"h"
2,2017,57,"l"
2,2017,1415,"n"
1,2017,7,"h"
1,2017,150,"l"
1,2017,897,"n"
53,2016,24,"h"
53,2016,9,"l"
53,2016,315,"n"
52,2016,246,"h"
52,2016,285,"l"
52,2016,2600,"n"
51,2016,172,"h"
51,2016,230,"l"
51,2016,2441,"n"
50,2016,158,"h"
50,2016,744,"l"
50,2016,4562,"n"
49,2016,178,"h"
49,2016,1143,"l"
49,2016,5228,"n"
48,2016,212,"h"
48,2016,502,"l"
48,2016,3891,"n"
47,2016,626,"h"
47,2016,2800,"l"
47,2016,11491,"n"
46,2016,651,"h"
46,2016,1247,"l"
46,2016,8662,"n"
45,2016,938,"h"
45,2016,2571,"l"
45,2016,11463,"n"
44,2016,1277,"h"
44,2016,2045,"l"
44,2016,9929,"n"
43,2016,974,"h"
43,2016,4244,"l"
43,2016,13760,"n"
42,2016,1831,"h"
42,2016,3945,"l"
42,2016,19776,"n"
41,2016,1977,"h"
41,2016,3849,"l"
41,2016,17596,"n"
40,2016,1632,"h"
40,2016,3418,"l"
40,2016,15709,"n"
39,2016,1053,"h"
39,2016,2961,"l"
39,2016,13320,"n"
38,2016,1557,"h"
38,2016,2764,"l"
38,2016,13203,"n"
37,2016,853,"h"
37,2016,2816,"l"
37,2016,10541,"n"
36,2016,921,"h"
36,2016,3775,"l"
36,2016,12999,"n"
35,2016,1605,"h"
35,2016,2262,"l"
35,2016,14029,"n"
34,2016,928,"h"
34,2016,2108,"l"
34,2016,10758,"n"
33,2016,306,"h"
33,2016,2038,"l"
33,2016,7960,"n"
32,2016,608,"h"
32,2016,1151,"l"
32,2016,8036,"n"
31,2016,509,"h"
31,2016,1371,"l"
31,2016,9185,"n"
30,2016,551,"h"
30,2016,1825,"l"
30,2016,10444,"n"
29,2016,277,"h"
29,2016,901,"l"
29,2016,6540,"n"
28,2016,467,"h"
28,2016,577,"l"
28,2016,7210,"n"
27,2016,332,"h"
27,2016,1013,"l"
27,2016,8063,"n"
26,2016,379,"h"
26,2016,1002,"l"
26,2016,8023,"n"
25,2016,403,"h"
25,2016,651,"l"
25,2016,7018,"n"
24,2016,38,"h"
24,2016,170,"l"
24,2016,2504,"n"
23,2016,285,"h"
23,2016,651,"l"
23,2016,7547,"n"
22,2016,224,"h"
22,2016,87,"l"
22,2016,2981,"n"
21,2016,228,"h"
21,2016,480,"l"
21,2016,5738,"n"
20,2016,358,"h"
20,2016,1137,"l"
20,2016,9109,"n"
19,2016,485,"h"
19,2016,889,"l"
19,2016,8532,"n"
18,2016,237,"h"
18,2016,554,"l"
18,2016,5822,"n"
17,2016,177,"h"
17,2016,1459,"l"
17,2016,6475,"n"
16,2016,251,"h"
16,2016,681,"l"
16,2016,4072,"n"
15,2016,32,"h"
15,2016,230,"l"
15,2016,1743,"n"
14,2016,19,"h"
14,2016,111,"l"
14,2016,994,"n"
13,2016,6,"h"
13,2016,20,"l"
13,2016,300,"n"
12,2016,1,"l"
12,2016,56,"n"
11,2016,10,"l"
11,2016,165,"n"
10,2016,3,"h"
10,2016,18,"l"
10,2016,214,"n"
9,2016,5,"l"
9,2016,88,"n"
8,2016,3,"h"
8,2016,12,"l"
8,2016,138,"n"
7,2016,3,"h"
7,2016,30,"l"
7,2016,214,"n"
6,2016,3,"h"
6,2016,16,"l"
6,2016,196,"n"
5,2016,1,"h"
5,2016,45,"l"
5,2016,152,"n"
4,2016,5,"h"
4,2016,109,"l"
4,2016,456,"n"
3,2016,15,"h"
3,2016,34,"l"
3,2016,267,"n"
2,2016,1,"h"
2,2016,26,"l"
2,2016,416,"n"
1,2016,14,"h"
1,2016,64,"l"
1,2016,959,"n"
53,2015,1,"h"
53,2015,17,"l"
53,2015,128,"n"
52,2015,10,"h"
52,2015,68,"l"
52,2015,601,"n"
51,2015,132,"h"
51,2015,408,"l"
51,2015,3275,"n"
50,2015,310,"h"
50,2015,667,"l"
50,2015,4260,"n"
49,2015,205,"h"
49,2015,1343,"l"
49,2015,6323,"n"
48,2015,300,"h"
48,2015,955,"l"
48,2015,5829,"n"
47,2015,1136,"h"
47,2015,2453,"l"
47,2015,11918,"n"
46,2015,3459,"h"
